Ë≠âÂà∏‰ª??,Ë≠âÂà∏?çÁ®±,?ê‰∫§?°Êï∏,?ê‰∫§?ëÈ?,?ãÁõ§???ÄÈ´òÂÉπ,?Ä‰ΩéÂÉπ,?∂Áõ§??Êº≤Ë??πÂ∑Æ,?ê‰∫§Á≠ÜÊï∏,,,
1339,?≠Ë?,"255,000","8,523,500",34.25,34.25,32.7,32.7,-0.7,215,
1340,?ùÊ?-KY,"536,577","4,602,518",8.8,8.98,8.05,8.45,-0.35,299,
1341,ÂØåÊ?-KY,"8,020","465,665",57,59.1,56.7,59.1,0,21,
1402,"?†Êù±??,11",750,"252""","264,417,935",22.7,22.8,22.1,22.15,-0.5,"4,268"
1409,?∞Á?,"3,471,517","33,607,977",9.63,9.8,9.62,9.68,0.08,"1,265",
1410,?óÊ?,"41,563","1,146,212",27.65,27.85,27.5,27.6,0.05,23,
1413,ÂÆèÊ¥≤,"99,049","656,037",6.5,6.7,6.5,6.7,0.15,37,
1414,?±Â?,"154,031","848,724",5.5,5.55,5.43,5.46,-0.04,80,
1416,Âª??,"230,791","2,324,459",10.1,10.2,10,10.1,-0.05,166,
1417,?âË?,"380,090","2,843,976",7.63,7.71,7.37,7.55,-0.08,184,
1418,?±ËèØ,"1,039","7,205",6.96,6.96,6.96,6.96,X0.00,10,
1419,?∞Á¥°,"47,001","1,743,737",37.1,37.45,36.2,37,-0.4,47,
1423,?©ËèØ,"71,800","642,550",8.94,9.08,8.72,9.04,0.39,43,
1432,"Â§ßÈ≠Ø??,318","000""","1,233,800",3.71,4,3.71,3.89,-0.17,112,
1434,Á¶èÊ?,"3,846,836","111,187,322",29,29.35,28.6,28.6,-0.55,"2,791",
1435,‰∏≠Á?,"431,009","2,979,227",6.78,7.02,6.78,6.9,0.19,174,
1436,"?ØÂ???,148","697""","5,096,272",34.9,35.5,33.85,34.65,-0.25,124,
1437,"?§Á???,421","250""","7,609,200",18.2,18.45,17.85,17.85,-0.4,190,
1438,Ë£ïË?,"21,792","233,163",10.7,10.8,10.6,10.8,X0.00,14,
1439,‰∏≠Â?,"392,000","11,515,950",29.8,30.5,28.6,28.6,-1.1,206,
1440,?óÁ¥°,"1,634,251","13,110,823",8.1,8.11,8,8,-0.08,641,
1441,Â§ßÊù±,"182,054","1,119,921",6,6.38,6,6.01,-0.37,122,
1442,?çË?,"341,466","5,161,208",15.2,15.4,14.85,15.1,-0.1,198,
1443,Á´ãÁ?,"90,893","796,926",8.6,8.95,8.5,8.9,-0.05,30,
1444,?õÈ?,"1,955,488","12,922,608",6.6,6.69,6.55,6.55,-0.11,667,
1445,Â§ßÂ?,"247,356","1,524,358",6.05,6.21,6.05,6.17,-0.04,61,
1446,ÂÆèÂ?,"371,045","7,787,858",21,21.45,20,21.1,-0.2,195,
1447,?õÈµ¨,"1,104,212","5,517,460",4.96,5.02,4.96,4.99,-0.01,364,
1449,‰Ω≥Â?,"1,032,278","10,294,873",10,10.3,9.93,9.99,0.03,249,
1451,Âπ¥Ë?,"473,017","7,651,222",16.7,16.7,15.9,15.9,-0.8,328,
1452,ÂÆèÁ?,"611,159","10,136,800",16.85,16.85,16.3,16.3,-0.55,330,
1453,Â§ßÂ?,"43,009","285,431",6.81,6.82,6.55,6.55,-0.27,37,
